mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,spec_centroid_mean,spec_centroid_std,spec_band_mean,spec_band_std,spec_rolloff_mean,spec_rolloff_std,spec_flat_mean,spec_flat_std,rms_mean,rms_std,zero_cross_rate_mean,zero_cross_rate_std,debit
-504.24774169921875,59.48487854003906,23.519681930541992,14.175064086914062,13.366663932800293,10.80726432800293,7.14739465713501,8.479701042175293,6.366385459899902,7.8525214195251465,5.726034641265869,5.116537094116211,2.465426206588745,78.50023651123047,11.782697677612305,6.899791717529297,5.104946613311768,4.873546123504639,3.894225597381592,3.555184841156006,3.723966360092163,3.635542392730713,3.9084386825561523,3.705897569656372,3.346088171005249,3.450460195541382,5114.904820324015,864.0251713537995,4933.148549087558,278.32118951598557,11807.96204620462,648.2577290195635,0.07277170568704605,0.1495203673839569,0.0020381759386509657,0.0005650229868479073,0.12666144544141913,0.09009204427555703,0.0
-536.1839599609375,57.08721923828125,15.447957992553711,14.927018165588379,8.073881149291992,8.693830490112305,6.517500877380371,6.615807056427002,3.41664981842041,5.100732326507568,2.4592056274414062,3.5743408203125,2.4345428943634033,180.84881591796875,24.58847427368164,8.49914264678955,8.229720115661621,6.0706305503845215,5.200754165649414,4.939295291900635,4.135928153991699,3.779818058013916,3.760953187942505,3.1102497577667236,3.5092413425445557,3.4887983798980713,5450.465380644645,1924.7828852432276,4547.973288284146,464.5359298347235,11456.82322485207,1209.1194016096672,0.19173987209796906,0.33392906188964844,0.0020848421845585108,0.0009456402622163296,0.19499468380177515,0.19121201750231742,0.01
-481.0110168457031,63.587650299072266,23.604785919189453,15.02107048034668,13.447393417358398,10.305330276489258,7.378726959228516,8.520925521850586,5.879499912261963,7.373653888702393,5.268275737762451,5.915960788726807,3.257434606552124,38.175682067871094,6.914145469665527,5.693949222564697,4.308707237243652,3.6121714115142822,3.25408935546875,3.5157690048217773,3.604137420654297,3.4175822734832764,3.6516737937927246,3.440877676010132,3.5784151554107666,3.1929872035980225,4781.826850703693,463.6889250756638,4930.629487926068,159.50060158438984,11545.90909090909,465.248235582694,0.03968057781457901,0.061333660036325455,0.0026229971554130316,0.0005429867305792868,0.09408913352272727,0.04511365488242854,0.02
-607.913818359375,59.46736145019531,26.89691925048828,12.934210777282715,13.417874336242676,7.408745288848877,5.885531902313232,6.405465126037598,4.9322829246521,6.570730209350586,3.3379154205322266,3.972485065460205,2.8223743438720703,33.499324798583984,7.340127944946289,4.830638408660889,4.3067731857299805,3.7186522483825684,3.4035935401916504,3.3517534732818604,3.749673366546631,3.603327989578247,3.5884439945220947,3.527926445007324,3.3940138816833496,3.2772133350372314,5341.911820338917,470.2611282597073,5070.997916223635,147.17014279421497,12187.5,592.3508296340085,0.06529291719198227,0.03433658182621002,0.0005904422141611576,0.00022396593703888357,0.13347602329371167,0.04295144535667331,0.03
-332.1120300292969,16.4106388092041,-15.903857231140137,32.13802719116211,-36.63325119018555,31.62881851196289,-0.620519757270813,28.33689308166504,3.884758234024048,11.988511085510254,1.3396943807601929,1.5774314403533936,3.2511627674102783,51.712066650390625,22.45950698852539,16.7856388092041,20.76572608947754,20.17854881286621,15.912981033325195,11.610323905944824,12.280726432800293,11.019317626953125,10.588942527770996,9.361733436584473,7.777219295501709,7.717685699462891,5785.442966869831,824.1952740019605,3265.7712683495483,333.88890202502273,9093.878777472528,732.0354579440195,0.07287850975990295,0.08856277912855148,0.010589062236249447,0.004290475510060787,0.3095367766998626,0.0703728352136389,3.7
-329.0445861816406,17.96502685546875,-18.578990936279297,25.634267807006836,-36.61307907104492,35.685211181640625,-0.24626266956329346,30.324844360351562,4.2304463386535645,8.946035385131836,1.4071866273880005,-1.0261178016662598,1.6884617805480957,28.418672561645508,22.030529022216797,20.368999481201172,19.652978897094727,18.95832633972168,14.04796028137207,12.633816719055176,11.106039047241211,11.604726791381836,8.235440254211426,9.382386207580566,8.649171829223633,7.5880608558654785,5743.3863997377475,783.3574863026407,3278.205290355944,328.55900181699303,9033.341224747475,520.4614596691691,0.06464307755231857,0.02727663703262806,0.010625259019434452,0.004210681188851595,0.3045999546243687,0.06986888799994123,4.0
-273.4938659667969,17.917709350585938,-23.33790397644043,28.945022583007812,-45.908447265625,35.678550720214844,-4.845991611480713,30.19112777709961,2.1821584701538086,12.8001070022583,-2.9399116039276123,3.0798919200897217,1.289756417274475,25.39069175720215,15.822836875915527,14.714547157287598,17.020265579223633,14.007344245910645,11.469613075256348,8.896315574645996,8.518537521362305,9.20365047454834,7.823103904724121,8.268719673156738,6.867699146270752,6.404179096221924,5853.239487921512,496.76620647593126,3179.186819056692,231.95014319099658,9041.42441860465,421.3953954619372,0.06653520464897156,0.018360598012804985,0.01579226925969124,0.003294864669442177,0.33976568177688954,0.041352287222769214,4.16
-331.8774108886719,25.81427764892578,-16.364044189453125,24.1195068359375,-33.9998893737793,35.30801010131836,0.14750170707702637,27.875770568847656,4.111605644226074,10.65918254852295,3.7606050968170166,0.18476131558418274,0.7582345008850098,39.99977493286133,21.298450469970703,19.26717758178711,20.261775970458984,17.496004104614258,12.670713424682617,12.216320037841797,12.581374168395996,10.404437065124512,9.158884048461914,8.765751838684082,7.605618476867676,7.595517635345459,5587.728239231793,828.8207916023077,3365.972653793364,347.48958765906394,8985.05608974359,611.9430698784078,0.06786828488111496,0.03134757652878761,0.010504057630896568,0.00649449834600091,0.2927734375,0.06740137950835395,4.34
-342.8692932128906,17.653654098510742,-15.848692893981934,30.254663467407227,-28.72878646850586,36.23362731933594,-3.6949236392974854,25.558284759521484,5.06507682800293,7.484361171722412,1.5066217184066772,2.211881637573242,2.9307620525360107,28.579341888427734,20.35204315185547,20.37323570251465,21.685163497924805,20.540462493896484,12.846917152404785,11.748733520507812,12.374430656433105,10.593374252319336,10.0239839553833,8.873046875,7.710305213928223,7.710226058959961,5751.1289018779225,685.9761560963425,3322.410386569919,365.0315366219717,9035.42737789203,540.7868952246564,0.06824477761983871,0.027507929131388664,0.009116140194237232,0.003870215965434909,0.3035791392191517,0.06285804949521691,4.54
-296.05712890625,11.928478240966797,-31.14152717590332,27.68589210510254,-40.2187614440918,33.80103302001953,-2.805177927017212,32.88410949707031,4.999415397644043,10.6067476272583,-2.9396355152130127,-1.4658373594284058,3.234280586242676,18.746688842773438,17.46073341369629,13.333248138427734,15.71434211730957,14.634944915771484,11.153916358947754,9.354970932006836,8.553939819335938,9.381683349609375,8.48639965057373,7.0733537673950195,7.558257579803467,7.228367805480957,5811.23896712095,530.5848839937452,3151.6081972556563,270.2191402012203,8923.497963340122,437.2542717636813,0.06726717948913574,0.023727118968963623,0.013405202887952328,0.00410082982853055,0.33703140911405294,0.04606040595546201,4.99
-307.6875305175781,16.746360778808594,-22.921770095825195,26.545581817626953,-37.9552001953125,34.3832893371582,-2.0415148735046387,30.027463912963867,2.8041460514068604,12.178701400756836,1.6857627630233765,1.7095884084701538,1.3482576608657837,30.68197250366211,20.900108337402344,18.434011459350586,20.303590774536133,18.883377075195312,14.665709495544434,12.888964653015137,11.457748413085938,10.849143981933594,9.508049964904785,8.017680168151855,8.18838882446289,7.618204593658447,5745.419151535023,705.7736782586132,3260.1790831396356,311.1869796233821,9023.968828715366,629.0832019040364,0.06513091921806335,0.0254404004663229,0.012658839114010334,0.004535704385489225,0.30665415420340053,0.06313323492786733,5.0
-274.7706298828125,-0.030580783262848854,-35.374759674072266,30.677474975585938,-42.41382598876953,33.06800079345703,-3.8081860542297363,31.80019187927246,5.7370100021362305,16.53731346130371,-3.3290820121765137,-1.6882567405700684,2.5542354583740234,18.033397674560547,13.834149360656738,11.109476089477539,12.607986450195312,13.341361999511719,10.958155632019043,9.623867988586426,9.607110023498535,8.428374290466309,8.045342445373535,7.720188617706299,7.380791664123535,6.434680461883545,5991.620067497706,416.1582321386583,3053.7109747536856,230.8037269518594,9012.419871794871,376.4902981379466,0.06825027614831924,0.020112119615077972,0.017208905890583992,0.004411173518747091,0.35478583916083917,0.04518800854606126,5.26
-277.0914306640625,7.1302361488342285,-28.422592163085938,26.503765106201172,-50.69858169555664,30.5095272064209,-2.9410245418548584,34.766456604003906,4.4662251472473145,13.472063064575195,-2.595123291015625,2.1279122829437256,-1.7073320150375366,17.85634994506836,14.249007225036621,12.177736282348633,12.537261009216309,12.56175422668457,10.68432903289795,11.145549774169922,9.03182601928711,8.846120834350586,9.28348159790039,7.55510950088501,7.77108097076416,7.1210126876831055,6002.964906733161,438.325974302393,3104.772207515657,248.0667744580965,9155.477661596959,387.89846621600066,0.06925234943628311,0.021053673699498177,0.016346534714102745,0.004261421505361795,0.3493178915161597,0.03936694515237545,5.55
-247.35586547851562,-1.7063404321670532,-34.554832458496094,27.209491729736328,-52.235050201416016,27.162490844726562,-5.444202899932861,34.22151565551758,4.052611827850342,19.14759635925293,-2.3549015522003174,-0.0012869683559983969,-3.1148838996887207,15.36388874053955,13.205413818359375,10.689481735229492,11.102803230285645,11.138495445251465,9.494316101074219,8.923380851745605,8.61283016204834,7.306212425231934,7.133480548858643,6.953136920928955,5.911576271057129,6.469342231750488,6103.147979113133,382.1896574672577,3037.880214023923,192.48966231504522,9137.753975265017,350.68992030401563,0.06992027163505554,0.01678614132106304,0.022195829078555107,0.004623152315616608,0.3690888637367491,0.03120074511555943,5.88
-251.4165496826172,6.5273847579956055,-39.880184173583984,24.641366958618164,-50.38560104370117,30.4482421875,-2.8642570972442627,27.533998489379883,2.943021774291992,19.611494064331055,0.5571628212928772,-1.6866761445999146,-2.5802996158599854,17.62336540222168,12.990731239318848,10.910528182983398,12.112560272216797,11.97275447845459,11.001554489135742,9.932710647583008,7.7029924392700195,6.973846435546875,7.870038986206055,7.725151538848877,7.091376304626465,6.688089847564697,5809.709697077978,411.53336801012216,3060.5006085379327,201.90941461324155,8913.430274566474,351.097992671689,0.06972786039113998,0.018779093399643898,0.019974013790488243,0.004769435152411461,0.3473147353684971,0.03600141369163413,6.45
-242.91229248046875,-4.471630573272705,-37.38068389892578,28.167356491088867,-50.973350524902344,27.59296226501465,-4.584574222564697,35.66624069213867,0.7372634410858154,15.721012115478516,-3.2468369007110596,0.366477370262146,-1.921690583229065,16.92190170288086,15.239775657653809,11.12597370147705,11.96194839477539,12.493017196655273,9.714712142944336,8.104996681213379,8.211615562438965,7.245779514312744,7.34440279006958,7.064821243286133,5.541874885559082,5.798848628997803,6114.643652765641,437.37864107085716,3008.77886355508,213.70670646442818,9134.559768637531,335.59837048212097,0.07005537301301956,0.01646597869694233,0.0236512403935194,0.006543642375618219,0.37247072822943444,0.03960803373759272,7.14
-209.67137145996094,-3.2611868381500244,-36.39340591430664,26.10614776611328,-57.632503509521484,17.68342399597168,-15.352276802062988,33.65087127685547,3.7327966690063477,20.288515090942383,-1.1454206705093384,0.7156690359115601,-5.325283050537109,10.735426902770996,10.590903282165527,9.832452774047852,8.059236526489258,8.125702857971191,8.329851150512695,9.013679504394531,6.8635406494140625,6.647528648376465,6.8119730949401855,6.770727157592773,7.013179302215576,5.911133289337158,6159.343621921041,317.79803804814634,3031.595019181598,150.02225212002074,9213.633040935672,294.4088589578411,0.07237409800291061,0.0145003292709589,0.031149106100201607,0.003986569587141275,0.37943879066154973,0.0277065872184955,8.82
-198.50628662109375,-5.63518762588501,-35.61060333251953,31.02325439453125,-59.284942626953125,14.79091739654541,-17.283065795898438,32.087738037109375,3.777066230773926,21.297344207763672,-2.9486451148986816,0.636154055595398,-3.5502514839172363,17.32398796081543,11.250247955322266,9.0447359085083,8.856538772583008,8.821417808532715,7.906342029571533,7.4962158203125,6.802232265472412,5.918527603149414,6.087372303009033,6.985922336578369,6.664795398712158,5.847306728363037,6179.8866446555285,335.40993535600256,2956.915332578348,157.60494893635698,9154.872720364741,293.77359844182695,0.0677514597773552,0.014469916932284832,0.03714761883020401,0.006840025074779987,0.38099146324088146,0.025460837851458952,9.03
-195.67935180664062,21.20546531677246,-12.687554359436035,48.24006271362305,-53.74946212768555,8.147109031677246,-32.65079879760742,13.201665878295898,-16.921546936035156,3.2586169242858887,-11.76751708984375,-7.867365837097168,-1.3747841119766235,10.223562240600586,9.019018173217773,8.888365745544434,8.28665542602539,8.148507118225098,7.016201972961426,6.993048667907715,6.373286724090576,6.141400337219238,5.7946858406066895,6.553557395935059,7.161029815673828,6.375898361206055,5878.673852362647,273.6823504745935,3108.168755776124,134.17760273117983,8956.605629539952,234.76876986894575,0.0619933120906353,0.011971917003393173,0.03307156264781952,0.004196264315396547,0.3624595660562954,0.023761610466823842,9.05
-244.8612060546875,38.37896728515625,-30.997709274291992,29.096643447875977,-56.56072998046875,12.827648162841797,-18.82829475402832,18.417818069458008,-3.3169357776641846,12.14621639251709,5.1316986083984375,2.304753303527832,1.8054972887039185,34.146995544433594,24.259140014648438,18.999874114990234,17.698049545288086,15.29880428314209,14.867169380187988,12.656805992126465,11.813331604003906,10.812787055969238,10.154874801635742,8.25893497467041,8.43523120880127,7.550261497497559,5135.042509274418,717.3096334294057,3137.2539385886366,268.91565970196206,8514.875239923225,539.3916638700358,0.049866821616888046,0.02137875370681286,0.022209331393241882,0.008309172466397285,0.2705874745081574,0.06168734496306098,9.98
-307.88812255859375,-1.8694849014282227,-30.41391944885254,26.082717895507812,-48.0877685546875,12.932405471801758,-13.503576278686523,25.92424201965332,4.844420433044434,19.579063415527344,-0.21343187987804413,-1.2625895738601685,-1.5692358016967773,218.34327697753906,9.779915809631348,15.651583671569824,13.056900978088379,22.52581787109375,9.40379524230957,10.148874282836914,12.782739639282227,6.300467491149902,10.154777526855469,5.807561874389648,6.204442024230957,4.891529560089111,6700.973301426773,1485.5310675720352,3063.0485295313642,232.61848071616808,9847.552083333334,1880.743208632847,0.21492886543273926,0.3387430012226105,0.025955302640795708,0.01195178460329771,0.418974609375,0.10403918382164407,9.99
-192.3706512451172,-3.95426607131958,-37.61663818359375,32.123043060302734,-57.129093170166016,12.993249893188477,-19.241518020629883,28.014137268066406,2.983334541320801,22.2489013671875,-0.7696715593338013,0.172287717461586,-2.082214593887329,12.823859214782715,10.213873863220215,8.437525749206543,7.211349010467529,9.120426177978516,7.695279121398926,8.646605491638184,8.11733627319336,7.006302833557129,6.021666049957275,6.075882434844971,6.630993843078613,5.864051342010498,6076.051324116782,290.1929362972781,2968.5371686275817,146.2457953535965,9071.493167202572,277.453461748146,0.07013491541147232,0.01593136414885521,0.037713441997766495,0.005703141447156668,0.3736136580586817,0.026642454418022172,10.0
-180.37351989746094,-15.484085083007812,-46.7397346496582,27.46552085876465,-50.92121505737305,19.98862648010254,-16.992319107055664,33.35786437988281,2.091862201690674,17.768957138061523,-2.749221086502075,4.0801591873168945,-2.9155094623565674,11.233400344848633,12.58642292022705,10.478865623474121,7.6856842041015625,9.62021255493164,9.992958068847656,8.36673355102539,6.541778087615967,6.131977558135986,5.951301097869873,6.5599894523620605,5.973916053771973,5.098166465759277,6215.509254482471,261.6576453884127,2961.7205630417207,130.8996565520864,9200.590093085106,218.13336775220688,0.07442265748977661,0.012874359264969826,0.043917637318372726,0.005696538370102644,0.3845656374667553,0.023478005295415865,10.66
-175.7467498779297,27.59604263305664,-16.845659255981445,51.372650146484375,-45.48842239379883,11.473762512207031,-29.88127326965332,9.6969633102417,-19.661911010742188,-1.0644439458847046,-17.705034255981445,-13.37217903137207,-9.696881294250488,8.688858032226562,9.713284492492676,8.26108455657959,7.265491008758545,7.5829877853393555,6.972378730773926,7.342591285705566,6.855931282043457,5.353217601776123,6.42213773727417,5.97061824798584,5.96021032333374,5.712532997131348,5586.807220261121,277.7951847895927,3174.7626032774183,118.69607181442048,8856.553329571107,235.96683963268868,0.06253700703382492,0.011321064084768295,0.03726525232195854,0.00391424959525466,0.33531474851862303,0.02537695387251212,11.0
-163.16030883789062,-11.301069259643555,-43.83430480957031,31.56077766418457,-53.05344772338867,11.001870155334473,-25.95099449157715,24.620546340942383,1.0245168209075928,22.046201705932617,1.6718825101852417,1.5859968662261963,-1.6563429832458496,10.557456016540527,11.342449188232422,8.403951644897461,7.458284854888916,8.11695384979248,7.5900468826293945,7.953495025634766,7.979373455047607,6.272744178771973,5.695342063903809,5.545648097991943,5.603021621704102,5.322910308837891,6144.386164538458,255.34485699696134,2944.39291009971,122.74229992800527,9091.883532423208,181.69249102990383,0.07348832488059998,0.012047380208969116,0.05104783549904823,0.007175111677497625,0.3857921821672355,0.022753367108124114,11.11
-174.5316925048828,57.04685974121094,-29.215831756591797,25.522066116333008,-50.97335433959961,10.720515251159668,-34.77796936035156,10.66429328918457,-17.001789093017578,2.4912075996398926,-8.994767189025879,-3.090273380279541,-0.5628491044044495,23.05766487121582,20.200056076049805,14.863332748413086,14.128765106201172,11.852532386779785,9.51528549194336,10.598517417907715,9.010542869567871,9.301376342773438,8.891074180603027,8.369842529296875,7.581187725067139,7.753972053527832,4852.32528263686,665.4356098542013,3332.073398528297,215.91416739981148,8600.702576112411,460.99995525310374,0.0481858104467392,0.018149148672819138,0.038004856556653976,0.011434903368353844,0.2394133306498829,0.05052742962986903,13.69
-173.6569061279297,60.37577438354492,-28.457822799682617,34.31790542602539,-48.037132263183594,8.36855411529541,-32.27606201171875,3.0191595554351807,-19.217727661132812,1.0023350715637207,-12.182943344116211,-7.6368842124938965,-5.839510440826416,21.136394500732422,14.856886863708496,14.427509307861328,12.980743408203125,12.718213081359863,8.953133583068848,9.891585350036621,9.085639953613281,9.00570011138916,8.63549518585205,8.2520112991333,6.8586039543151855,7.006322860717773,4612.477847716205,519.321843070882,3274.373375065009,200.75589333111103,8332.115155131265,497.1329899191027,0.04503827169537544,0.017903918400406837,0.03686285763978958,0.009114695712924004,0.22992453199582338,0.0463115081047971,15.87
-177.23696899414062,58.788291931152344,-21.837173461914062,45.80109405517578,-51.5734977722168,12.469449043273926,-26.00358009338379,5.693240165710449,-18.80312728881836,-1.3689484596252441,-14.383806228637695,-14.034222602844238,-14.775267601013184,16.812755584716797,13.216525077819824,12.016634941101074,11.04859733581543,10.89836597442627,9.444138526916504,9.630528450012207,9.06615161895752,7.5200605392456055,7.860385417938232,7.754619121551514,6.765871047973633,6.776622295379639,4638.930511576448,433.78585019944927,3222.76105823775,201.33952363856517,8213.72239747634,435.8042810474306,0.036107324063777924,0.01506643183529377,0.040406811982393265,0.009793385863304138,0.22545192971214512,0.04771920371890453,18.51
